Title,Product URL,Image URL,Common Name,Care Level,Maximum Size,pH,Temperature,Life Span,Behaviour,Tank Region,Gender
Blue Axelrodi Rasboras,https://eastoceansg.com/products/blue-axelrodi-rasboras,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/AlxelrodiBlueRasboa.jpg?v=1647848707,Axelrods Rasbora,Intermediate,2 - 5cm,4 - 6.5,22.8°C - 26.1°C,years,Peaceful. Best kept as school of 6+,Middle - Top,"Males are much more colourful usually with more blue on the flanks, are noticeably slimmer than females and also exhibit dark colouration in the anal and ventral fins whereas females have a colourless anal fin."
Golden Tetra,https://eastoceansg.com/products/golden-tetra,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/GoldenTetra.jpg?v=1647591306,"GoldTetra, Golden Tetra.",Beginner - Immediate,5 cm,6 - 7,24°C - 28°C,3 - 4 years,Peaceful,Middle layer,"The analfin of the female has a red hue, and a white leading edge."
Kubotai Rasboras,https://eastoceansg.com/products/kubotai-rasboras,https://cdn.shopify.com/s/files/1/0430/9870/1992/files/rn-image_picker_lib_temp_83ffb7f5-c6c5-45be-bc46-0ad05861a782.jpg?v=1698985729,"Neon Green Rasnora, Green Rasbora",Moderate,2 cm,6 - 7,20°C - 27°C,3 - 7 years,It is a peaceful species. They are found in groups in nature and it is recommended to keep them in groups in aquariums.,MIddle,"Mature females tend to be deeper-bodied and noticeably larger than the more compact, intensely-coloured males."
Balloon Gold Ram,https://eastoceansg.com/products/balloon-golden-ram,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/goldenramballoon.webp?v=1673070656,Balloon Gold Ram,"Medium-Difficult, mostly because it needs a well established tank",5 - 7.5cm,5.5 - 7.0,26-30°C,3 years or longer,"Peaceful, but when breeding, the male guards the eggs and can and will be very aggressive. If there are 2 males in a tank smaller then 30 gallons and without plenty of hiding places, they will show territorial disputes between them.",Middle,"An Adult female is stockier built, her tail has a more round edging and the red patch on her belly is bigger and bolder than the male"
Blue Diamond Discus Fish,https://eastoceansg.com/products/discus-fish,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/Singapore-Cobalt-Blue-Discus-Fish.jpg?v=1689058645,Discus,"Medium-Difficult, mostly because it needs a well established tank",15cm,6.5 - 7.5,27-30°C,3 years or longer,Very peaceful most of the time. They may become territorial when they pair off to breed,Middle,"The genital papilla is pointed in males, and rounded in females. You have to observe them when they are spawning."
Tricolor Angel,https://eastoceansg.com/products/tricolor-angel,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/TricolorAngel.jpg?v=1647835508,"Albino, Black, Gold, Silver, Marbled, Koi, etc - seems there is a common name for each color variety.",Easy,15 cm,6 - 7.5,23°C - 29°C,8 - 10 years,"They are generally peaceful, but can be aggressive eaters and may become territorial while breeding.",All levels of the aquarium.,"There are no visible differences between the male and female. Only at spawing will you be able to tell the male from the female. A female has a round ""tear-drop"" shaped breeding tube and a male has a cone shaped breeding tube."
Blue Angel,https://eastoceansg.com/products/blue-angel,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/BlueAngel.jpg?v=1647836107,"Albino, Black, Gold, Silver, Marbled, Koi, etc - seems there is a common name for each color variety.",Easy,15 cm,6 - 7.5,23°C - 29°C,8 - 10 years,"They are generally peaceful, but can be aggressive eaters and may become territorial while breeding.",All levels of the aquarium.,"There are no visible differences between the male and female. Only at spawing will you be able to tell the male from the female. A female has a round ""tear-drop"" shaped breeding tube and a male has a cone shaped breeding tube."
German Blue Ram,https://eastoceansg.com/products/golden-balloon-ram,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/german-blue-ram.jpg?v=1673069420,German Blue Ram,"Medium-Difficult, mostly because it needs a well established tank",5 - 7.5cm,5.5 - 7.0,26-30°C,3 years or longer,"Peaceful, but when breeding, the male guards the eggs and can and will be very aggressive. If there are 2 males in a tank smaller then 30 gallons and without plenty of hiding places, they will show territorial disputes between them.",Middle,"An Adult female is stockier built, her tail has a more round edging and the red patch on her belly is bigger and bolder than the male"
Albino Tiger Barb,https://eastoceansg.com/products/albion-tiger-barb,https://cdn.shopify.com/s/files/1/0430/9870/1992/files/YWJzOi8vZmlzaHlodWItcHVibGljL3Byb2R1Y3Rpb24vaW52ZW50b3J5LWltYWdlcy9wcm9kdWN0cy9wcm9kXzE2ODk4Mzk4NzEwNTIucG5n.webp?v=1705747869,"Sumatra Barb, Green and Albino, Part belt Barb",Easy,8 cm,6 - 7.5,21°C - 26°C,5 years,They can be semi-aggressive and they do best when kept in a school of 6 or more.,Middle,The female is usually bigger and the male may develop a red colouration on its nose.
Peckoltia sp.pleco,https://eastoceansg.com/products/peckoltia-sp,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/01.jpg?v=1672830414,Peckoltia sp.,Easy,10 - 15 cm,5 - 7,26°C - 30°C,8 - 10 years,"Generally solitary, but will socialize somewhat, especially during breeding.",Bottom-dwellers,"Both sexes grow the appendages, but the growth and length is much more pronounced in males."
